Node,MMRS51410669ST,MMRS34569532ST,MMRS38954404ST,MMRS84954772ST,MMRS12272136ST,MMRS85382779ST,MMRS33294861ST,MMRS84159866ST,MMRS65862658ST,MMRS11288076ST,MMRS81671217ST,MMRS29805707ST,MMRS14602194ST,MMRS93508324ST,MMRS39582183ST,MMRS93621581ST,MMRS77487595ST,MMRS51737257ST,MMRS94549160ST,MMRS21365932ST,MMRS43563715ST,MMRS57276462ST,MMRS95479054ST,MMRS90191266ST,MMRS79893829ST,MMRS88581325ST,MMRS67247116ST,MMRS54246132ST,MMRS38861560ST,MMRS32573774ST,MMRS71762412ST,MMRS62666492ST,MMRS44587603ST,MMRS72802364ST,MMRS54316675ST,MMRS34525504ST,MMRS97307143ST,MMRS43939546ST,MMRS77018926ST,MMRS42780924ST,MMRS61683006ST,MMRS18295921ST,MMRS25641480ST,MMRS65742083ST,MMRS97052561ST,MMRS77321055ST,MMRS95277876ST,MMRS16644320ST,MMRS62376181ST,MMRS81135225ST,MMRS78791111ST,MMRS64281551ST,MMRS20257302ST,MMRS66868025ST,MMRS51307502ST,MMRS86178473ST,MMRS65205033ST,MMRS91297590ST,MMRS72980899ST,MMRS86168210ST,MMRS73787048ST,MMRS81194191ST,MMRS55294627ST,MMRS15137911ST,MMRS97327636ST,MMRS35808664ST,MMRS65945127ST
Streptococcus sp. HSISS1,-0.030231745363417085,-0.016829229117119416,-0.011583419325126014,-0.007003299292909637,-0.032022407882106876,-0.012467675239358485,0.01679259951374964,0.01113728899327306,0.14995392255091175,-0.006520154453406983,-0.0010871905235759522,-0.021398941691214552,0.01315125910903526,-0.015502884373814333,-0.003625186689147583,-0.015007101255919461,-0.017536151270106354,0.0,0.0,-0.00893622466726022,-0.026066687712168878,-0.009836127497633814,-0.030240009023661196,-0.020950502227293326,0.02380641520650274,-0.017880817043440484,-0.029699545593988897,-0.020286097811630124,-0.029570007634511473,-0.015349481001893739,-0.01288061285714763,-0.02642377326228642,0.0,-0.0038861761888071417,-0.05519232151785607,-0.02989762000810875,-0.02510982761859363,-0.03579308156735022,0.0,-0.008556231779580613,-0.01640074825633132,-0.02137211967346692,-0.03465768545897295,-0.01882322706950232,-0.014559962013651713,0.016335866043463012,0.14285776956857776,-0.024144943485308646,-0.018410040810980542,-0.007875608427549901,0.007296219429246531,-0.04702184694703243,-0.015903043282653063,-0.0246981447913955,0.0,-0.025713597426878586,-0.034535670230314015,-0.0036714769633164513,-0.02181552528025325,-0.04257720113946498,-0.03046256459789231,-0.01488593128339452,-0.02747296556217876,-0.042067124585761215,-0.010535337779723911,0.0,-0.04834994059970036
Streptococcus sp. FDAARGOS 192,-0.15115872681708542,-0.04207307279279854,-0.01737512898768902,-0.014706928515110237,-0.032022407882106876,-0.018701512859037726,0.0079964759589284,0.0030936913870202943,0.04498617676527352,-0.009128216234769776,-0.0022831000995094997,-0.01018997223391169,0.007890755465421156,-0.07751442186907166,-0.003625186689147583,-0.021009941758287246,-0.011690767513404235,-0.005214131210346003,0.0292200007701941,-0.004255345079647724,-0.017377791808112587,-0.04416230839609806,-0.004320001289094456,-0.020950502227293326,0.03570962280975411,-0.029801361739067472,-0.059399091187977794,-0.01449006986545009,-0.044355011451767214,-0.023024221502840607,-0.027049287000010025,-0.01761584884152428,0.0,-0.008160969996494998,-0.02207692860714243,-0.04982936668018125,-0.02510982761859363,-0.03579308156735022,0.0,-0.017968086737119287,-0.01640074825633132,-0.2137211967346692,-0.0727811394638432,-0.01129393624170139,-0.030575920228668597,0.008167933021731506,0.023809628261429627,-0.024144943485308646,-0.030683401351634235,-0.013126014045916503,0.036481097146232655,-0.09404369389406486,-0.009541825969591838,-0.028852075164152547,0.0,-0.025713597426878586,-0.7252490748365943,-0.0026224835452260363,-0.02181552528025325,-0.0709620018991083,-0.050770940996487185,-0.01488593128339452,-0.16483779337307256,-0.10516781146440303,-0.005643930953423524,0.0,-0.07252491089955054
Citrobacter freundii,0.004121607648420657,-0.014322453551501751,-0.004115571587933087,0.026232998410121767,0.02004972228219843,-0.04574952094150947,-0.028719677447935993,-0.04070465483323319,-0.02734040843612663,-0.024439282962552905,0.039481865566100706,-0.023298061660224977,-0.06879646203997386,-0.01439104208609052,-0.019963495228818046,0.008510415501720455,-0.010437571574982735,-0.019256504587089163,0.0016942913105693134,0.08671083249013582,0.008256768442097415,-0.10983106524941356,0.006717916370885342,0.051275833504631434,0.0443541240705148,0.0,-0.016398064770249406,-0.056530014492709744,-0.04424538638162604,-0.026833504783356176,-0.023100702019501013,-0.03549056130363947,-0.10112303969720589,0.00867791694195389,-0.09347007527159146,-0.011050555368230153,0.00574886937171675,0.0,0.008025524968164518,-0.001668745574654601,-0.03444601922747985,0.03817360319073487,-0.04164685576880405,-0.21772665663362734,0.008439689386385849,0.1832766279329356,0.0070068800003918715,-0.030970546664994533,-0.009393496417508133,0.024542017345432487,0.009240468154695194,-0.09806987018213482,-0.009346654903904775,0.0,-0.024066502316548936,-0.06021487599610139,-0.12996575531605578,-0.02076573443533166,0.04564259032451509,-0.07656058407374318,-0.05232134173686467,0.0,0.045599649401489105,-0.039901167138841565,-0.02130329592665155,0.0,-0.2599315013886919
Citrobacter braakii,-0.014826628144421617,0.01087390798834168,-0.05227022006944856,0.026232998410121767,0.010024861141099217,-0.010057740402106835,-0.017231806468761594,-0.08140930966646638,-0.027340408436126635,-0.013774706799927625,0.019740932783050353,-0.023298061660224977,-0.06879646203997386,-0.023985070143484197,-0.0399269904576361,-0.02361047665112721,-0.02087514314996547,-0.009628252293544581,0.00254143696585397,0.2601324974704075,0.016513536884194834,-0.10983106524941356,0.04000683697474324,0.051275833504631434,0.22613379150010596,0.0,-0.03279612954049881,-0.11306002898541949,-0.08849077276325208,-0.026833504783356176,-0.023100702019501013,-0.11830187101213158,-0.050561519848602944,0.00867791694195389,-0.08799727334671248,-0.022101110736460306,0.04355261424914295,0.0,0.01605104993632904,0.027878633355032795,-0.03444601922747985,0.019086801595367436,-0.04164685576880406,-0.21772665663362734,0.052496810737234605,0.030546104655489265,0.04204128000235123,-0.030970546664994533,-0.01878699283501627,0.024542017345432487,0.009240468154695194,-0.2942096105464045,-0.03353045499135129,0.0,-0.08022167438849646,-0.030107437998050695,-0.12996575531605578,-0.06921911478443887,0.09128518064903017,-0.15312116814748636,-0.313928050421188,0.0,0.045599649401489105,-0.03990116713884157,-0.11802357787654538,0.0,-0.7797945041660758
Bacteroides helcogenes,-0.009694326478472645,0.06549664112476128,-0.019590736655787384,-0.018180380107290763,0.017088276164163595,0.13148381596235884,0.0,0.018629181989313053,-0.00943352562103987,-0.037733661581654136,-0.020650622452241647,0.024947567701942286,-0.0035910390190576845,-0.005532475311926002,0.024358554522242868,-0.09720843257977739,0.011912160966425972,-0.03695791329910753,-0.05838219422096298,-0.054111906971067304,0.0,0.0,0.0,-0.009297775836062854,-0.06264629330962693,0.02790792326358213,-0.06135708592209419,0.0,0.004144947160126418,0.3487230254760559,-0.002519516658169612,-0.08187641541607486,-0.03340069537420927,-0.015032728066428828,-0.00901506800924269,-0.009798330630504554,0.08107942654405667,-0.021591616159903997,-0.08813081935948941,-0.0007884802943930764,0.003976778969562658,-0.055177189701777055,-0.003158665622091536,0.022195544212725692,0.02321415186669333,-0.6514979588539251,0.01170032594042499,-0.02854828756133717,-0.02556426355492534,-0.11336253814173547,0.0,-0.01621747360797728,-0.06820210645263917,0.05162945051603101,-0.010181303816506837,-0.07081572669403581,-0.33132560578262904,-0.07597770642919528,-0.047669267492716,-0.04564902081118501,-0.24261320204471656,0.0023747283105603643,0.04335186704243021,0.0,-0.031937411641953115,0.002588017236719464,0.0
Bacteroides zoogleoformans,-0.045148931210142317,0.06818494512691418,-0.005877220996736217,-0.051647220915309745,0.0,0.10735994684676457,0.0,-0.01554280190141836,-0.025262256733528218,-0.01195634849284292,-0.022148141925745,0.02533678115451376,0.01619668840138459,0.023739572972184833,0.054255955749977325,0.0017475470575545327,0.006472387668901125,-0.048732974423926136,-0.044214435070044585,-0.054111906971067304,0.0,0.0,0.0,-0.029709465370046862,-0.03896218856322006,0.0,-0.05869939964486043,0.061884421758704074,0.002486968296075848,0.18106778573366586,0.0,-0.007993587301800453,-0.06272343927754369,-0.022625919182581365,-0.02946590307086286,-0.03697112273149314,-0.04633159292076261,0.0,0.013066422722979032,-0.0120339878571958,0.014557397315367692,-0.06008823639947462,-0.009837890256070445,-0.030260754968037606,-0.03628041460881343,-0.12582526116393106,-0.04479318656471493,-0.005682987562338726,-0.00844666007329684,0.004682308876459948,0.0,-0.033012087807259304,0.0,0.10325890103206202,0.05952612128058112,0.0476194237133644,-0.19123166416245216,0.0,-0.047754589005850424,-0.07608170135197502,-0.04043553367411943,0.05147010493593001,0.027826050634958476,0.0,-0.1165673449434701,-0.10806729468804795,0.0
Lachnoclostridium phocaeense,0.004727186238971206,-0.0020564007265273616,-0.010032326980441921,0.008768221895155586,0.008793958126919669,-0.005590512008040539,0.002958834871020817,0.0007721067650118053,0.006272018342648831,0.0021802294374094595,-0.0028541692163160694,0.0068572388234591445,0.009423805303373167,0.008589317707128397,0.0004522353137556706,0.0017966576020609414,0.0021019768446688823,0.0013395454463752227,0.00780399631979009,0.004044301301769482,0.0103267923803982,-0.0030403972136958837,0.007003490449199339,0.004662678634508291,-0.014151924351168601,0.0067847961852992595,-0.005925024473857761,0.04319336444296119,-0.007161878799672773,0.0019944080238130228,0.001107362680260432,0.002566240761598286,-0.0063231395225406255,-0.001167491076555174,-0.0009073616299231426,0.0022170831105367346,-0.011592391314349405,-0.011645712515316289,-0.015495870527470387,0.0016775842458150918,-0.003761002617104665,0.004304337717439419,0.0034841255889575358,0.002018796421113933,0.007698084383003763,0.004635487854404248,0.003485258818801462,-0.004971429126116301,0.00296755049027512,0.006275547462204606,0.0025658669474635074,0.008401107530641798,0.015325545141450908,0.009872949232597277,-0.013314320482847012,0.02047640068543509,0.012868797828296157,-5.164830233316835e-05,0.00738590733453943,0.0,0.025069498920503426,-0.005121583360813663,0.0016748752118398152,0.024212682592556507,0.005234450391266039,0.0009495162925357976,0.0
Oscillibacter valericigenes,0.0033646628338255707,0.0024207019786548056,0.0033297074683312487,0.013135546200315614,0.0019135706923916042,-0.015166637895827836,0.007923506085073941,0.012790137803751848,0.023423083189219828,0.0041987597676294165,0.009390533334771113,-0.006772287655368386,-0.0026350828901403572,0.01720492496693306,0.0037055263788250527,0.004528944701988254,-0.0006265673669181357,0.019608413377086836,0.009630700220639044,0.014194478260448902,0.018541254508737084,0.0,0.002646829419346695,0.013334271834909043,-0.018163171739725655,-0.017083162243433328,-0.015234070394828486,0.03367874165710982,-0.003719273447934204,-0.0025923962217948293,0.011905722581921876,0.03330599088467547,0.00351907009069598,-0.0007132592346460307,0.013208216799654088,0.02664863830133773,-0.03522225948615769,0.015948876240128956,-0.01992326210674764,0.0,0.006414425889715159,0.013229508174574352,0.0,0.010689794911300485,0.008595354634091786,0.06216328263944798,0.0,0.0,0.08987500400717365,0.0,0.0,0.011624808660703216,0.012912770162485815,0.0,0.0,0.014626000489596492,0.030074204701927554,0.004601124191210643,-0.003932627985660409,0.0,0.02999724509314526,0.014039262077924367,0.0034535137486816935,0.020008131970874064,0.003414644981210222,0.03392433792891625,0.0
Prevotella scopos,-0.0005258994180588776,0.0,0.0,0.019755884508192555,0.0,0.0,0.0,0.017590015027955437,0.02525984971678383,0.010169691031294883,-0.009521454965395169,0.0,0.010427951109054466,0.0,0.0,0.0,-0.007093074662268431,0.02278299420291792,-0.009734843043604335,0.08800403069830463,0.0,0.3153630231956563,0.02181276605509591,0.06491677040803791,0.0,0.0,0.010707002183554,0.06823142113543827,0.0,-0.026613782028541737,0.02812072827510635,0.0,0.012478819080861042,0.0,0.049304832919326094,0.02242544450265587,0.027665648318353272,0.0,0.0,-0.029457618763720436,0.0,0.05241787764950656,0.03782883246748177,0.0,0.0,0.04340716342773039,0.02832784001206186,0.0,0.0,0.0,0.0,0.0,0.0,0.03958769135690652,0.0,0.0,0.0,0.0,0.038579697800125025,0.07014454547978187,0.0,0.04135287173344473,0.0,0.15716625256845027,0.05183414401638956,0.0,0.21511410778420406
Prevotella sp. oral taxon 299,0.008203997828153555,0.0,0.0,0.0,0.0,0.0,0.0,0.017590015027955437,0.025259849716783828,0.0,-0.05712872979237101,0.0,-0.006578696935333806,0.0,0.0,0.0,-0.023247041356209003,0.015384625724007298,0.012133255966586102,0.08800403069830463,0.0,0.10512100773188543,0.04362553211019182,0.04813503116391746,0.0,0.0,0.0,0.06823142113543827,0.0,-0.053227564057083475,0.02812072827510635,0.0,0.03199186873988729,0.0,0.0425200852717408,0.0,0.027665648318353272,0.0,0.0,-0.014728809381860218,0.0,0.05010714611187336,0.07064234095403185,0.0,0.0,0.07234527237955064,0.048689262561637414,0.0,0.0,0.0,0.0,0.0,0.0,0.1979384567845326,0.0,0.0,0.0,0.0,0.0,0.4208672728786912,0.0,0.04135287173344473,0.0,0.47149875770535077,0.05183414401638956,0.0,0.2309444959251552
