feature_x,feature_y,MMRS51410669ST,MMRS34569532ST,MMRS38954404ST,MMRS84954772ST,MMRS12272136ST,MMRS85382779ST,MMRS33294861ST,MMRS84159866ST,MMRS65862658ST,MMRS11288076ST,MMRS81671217ST,MMRS29805707ST,MMRS14602194ST,MMRS93508324ST,MMRS39582183ST,MMRS93621581ST,MMRS77487595ST,MMRS51737257ST,MMRS94549160ST,MMRS21365932ST,MMRS43563715ST,MMRS57276462ST,MMRS95479054ST,MMRS90191266ST,MMRS79893829ST,MMRS88581325ST,MMRS67247116ST,MMRS54246132ST,MMRS38861560ST,MMRS32573774ST,MMRS71762412ST,MMRS62666492ST,MMRS44587603ST,MMRS72802364ST,MMRS54316675ST,MMRS34525504ST,MMRS97307143ST,MMRS43939546ST,MMRS77018926ST,MMRS42780924ST,MMRS61683006ST,MMRS18295921ST,MMRS25641480ST,MMRS65742083ST,MMRS97052561ST,MMRS77321055ST,MMRS95277876ST,MMRS16644320ST,MMRS62376181ST,MMRS81135225ST,MMRS78791111ST,MMRS64281551ST,MMRS20257302ST,MMRS66868025ST,MMRS51307502ST,MMRS86178473ST,MMRS65205033ST,MMRS91297590ST,MMRS72980899ST,MMRS86168210ST,MMRS73787048ST,MMRS81194191ST,MMRS55294627ST,MMRS15137911ST,MMRS97327636ST,MMRS35808664ST,MMRS65945127ST
Odoribacter splanchnicus,Christensenella sp. Marseille-P3954,-1.5171292493321211,0.7896302335619952,1.0712797004962873,-0.6557621684589603,-1.8481428127861848,0.789373121783692,1.1174643376013218,0.9587569879522064,1.0704394400339503,0.885941805176554,0.7854278650461611,0.8462657135645373,-0.2231615128520905,0.7929750347449287,0.3282300704274103,0.7814808278593408,0.4481044303897233,0.9766972380601548,0.8456345445987253,1.0743302446928789,-0.9739025649319636,1.110394914527595,-0.5921171146488033,-0.587008031802442,0.9527085670388592,0.6798185007688108,0.3190155808880337,0.8337753992743915,1.1911459310000758,0.620522795116977,0.8597030513412887,0.6728481472192843,0.2814498037558541,-0.2709798979807893,0.8676943771857615,0.8303845418916034,1.0256121563041896,0.6430656515535351,-0.7875993237623689,0.454784941913092,0.0978751968928969,0.6264196618586569,0.6720728289295195,0.8861485662301083,0.8980568656592169,0.938777415754873,0.3390753079570798,0.8913999940521234,0.1317738608347148,-0.3836341397087628,0.1411378784853402,0.9416779383091712,0.0276491655167417,-1.3477617438448688,0.8835576646846828,-0.7455893203150745,0.8415270214805126,0.8678601087531623,-0.3857411561745449,0.8344284628229545,2.081130974177765,0.2802989606298077,0.8283542419379116,0.5110099807260079,0.0582343996450972,0.768590845939354,0.8415270067457113
Dysosmobacter welbionis,Oscillibacter sp. PEA192,0.6992354824809074,1.7350818917456416,0.6373260143224192,3.0230812957940425,-0.1516613181013228,-0.1693558402646732,0.5885280822728503,-1.1872778266956447,0.6976924088563409,-1.4282253969058658,-1.1275051533043767,0.7425844649082407,-0.4925016123005341,0.8557570905142151,2.3635246177249467,0.681037611998019,1.7434486706347876,1.800083512251454,0.2877218400805297,0.4034847188100448,1.9697203619670527,0.5092398636804393,0.6938357173483268,0.5231206789456578,1.472881997654142,2.6685105636168363,0.3763360040791236,0.3480366142343641,0.543293466709221,0.850021821296282,1.742602174840144,0.759071417634045,0.9467427974585726,2.6676074755790093,1.410023470109493,1.0773020181304842,1.3330227555666367,2.245175269882961,2.3992575367979243,1.6905043195705856,0.7862807324055562,1.6969000748492864,0.8558731941869098,0.0113321257212649,1.7525907495457895,1.149028047870705,0.7194497412969756,1.8092760956598035,0.905558354554493,1.3374414726444537,0.1788594659822019,0.1007565997787173,2.4531928183649163,0.9475351257672822,0.7745623687829062,-0.2383854340694288,0.7430738003666089,0.5777138187058646,1.2478502169181531,0.6345854795171176,-0.4014176741631493,1.3845810856977478,2.5962168296021937,0.7628231396381862,1.2526336027438956,0.7683842051521927,0.7430738460046289
Streptococcus parasanguinis,Streptococcus sp. HSISM1,1.0177771732942342,0.9173047407452732,1.2426638398438632,0.9620809151659894,1.0488725892089217,0.8927265994053601,0.5587456924864486,1.0882682699719075,0.8161941639132385,0.8127321986974912,1.1671635574852632,0.9374796318608188,1.2620490550083283,0.8782557923800678,1.0569470741188225,1.1175431006081011,0.9874592611670928,1.055997306136891,1.1067455344284078,0.8798000326683821,1.3678714348989005,1.2169317564108182,1.0645342476901225,1.1327167786670025,1.0076301659119475,0.9448223197793538,1.497771164897602,0.9342876938520318,0.9525902795062644,0.9481863055189864,0.9442441119958828,0.8566789939925722,1.0569265234909386,1.0300220734924823,1.0472592074384572,0.9334884471810252,0.8401607061404337,0.9368600298874586,1.3336462982913702,1.03470976858843,0.7750524291025992,1.0153009404144155,1.0536812941115734,0.8839699485605774,0.9270880721833176,1.0533291092567507,1.0478878117756445,1.0445374092548576,1.1803568189194436,0.8162581280227729,1.0917640265560056,1.333102466307155,1.0940876585792014,1.1313967896635404,0.9893808621069536,0.9690502398844706,0.9328355702371808,0.9008044505515176,1.029541979135165,0.8843412708980305,0.8641275468688024,0.9638431495292028,1.113967013406047,0.934664632844958,0.9587779093882164,0.9288036526060784,0.9328355515583696
Bifidobacterium longum,Alistipes sp. 5CPEGH6,-3.206573002540416,2.6059257101394566,0.3832130447113077,-0.0952502080318982,-1.1416903163616938,0.3086588183965401,1.4099096852143655,1.9309500692250103,1.231566652077008,0.8092086096509907,0.596087938642228,1.4486408072240626,-0.6589020116684468,1.0553974895406446,0.625942147803555,0.733570282133272,1.3054689542064524,0.4916541708656573,-0.0856317170471183,1.0223167134423463,0.4076726988584396,1.269420602163833,0.1117615111751491,-0.1920020995939582,-0.3030628711320162,-2.0920357301103047,-0.2319090826510363,0.5060821955821202,3.883068631329488,1.1327771560155635,0.0383478279745733,1.3397438465745974,0.911285497472684,1.0159119486271857,0.0583457867772394,-0.074495153640901,-1.099091154790513,1.232471350119854,-0.3890888533169658,0.661388754023273,0.3432469274378264,0.8546441721310982,0.5397351242819147,1.376942331823392,-1.8992196268796453,0.0685665705128205,-0.2352579795883136,-0.0976991281443728,-0.965095992446761,0.1874043714079325,-0.3620367795251755,2.208286099658286,0.1367615564144173,-2.2322554936451358,1.716676413714706,-1.0433227989146718,0.784638661811596,2.1973413854636843,0.6784038440881823,0.532952585080829,1.0580624074486935,0.5920037141225409,-1.004917362871851,0.3378112011434284,0.658885968097483,0.6486851385303728,0.7846386584758356
Pseudobutyrivibrio xylanivorans,Butyrivibrio fibrisolvens,0.988840799870644,2.405016113233178,1.0086508652412574,1.2478287790820506,1.1546064458578131,0.8220459343159966,0.8491739829362265,0.7358900212949978,1.294745194574394,0.8736740565630753,0.0241077414347783,0.8030940983119543,1.1238674217188414,1.08694167414656,1.9614960868503424,0.6986811278206266,1.0150283556909057,1.544406661608763,1.5481993005762544,0.4379741435517765,0.6521539048890184,0.9155699707504072,0.8394146906651435,1.079401296859045,2.000648333419938,2.303909083127138,1.0379855976888346,1.0862647918341273,0.8238481962073264,1.455643200484854,0.6764444603132679,0.8894354708924688,0.6268806143762458,1.730679827400055,0.3474415176907948,0.085018446545608,0.8315993986753906,0.6854086826639915,0.7635524604666325,0.1898489414385238,1.3310136557016612,0.8640200752736552,0.9028738655813878,1.062469782532799,0.7074831489069913,0.8451198247549626,0.9880845324250656,0.0708893833203855,0.8813092981039125,0.9305891227194498,0.7079593435947342,0.8512921779354015,1.1334596876350898,1.162037318705027,1.456487443654276,0.4839342307711869,0.8761368228056741,1.460107663446535,0.9207520941435297,0.9740795517251036,0.6885338286273517,0.914939359032885,0.4968996755504444,0.575255567876403,0.5224206769093294,0.8818380237126419,0.8761368346141682
Streptococcus sp. HSISS1,Streptococcus sp. FDAARGOS 192,1.7206481769968052,2.0459119998069424,0.5312036369590978,0.5226186053506782,1.1000114854044347,0.4676409635675033,-0.4275301466757629,-0.1443812833996585,-1.37943899373128,0.4742444151537318,2.6319138115329093,1.1002539496221813,-0.4698014924009399,1.937593436398333,0.4329395926177166,0.336954325844005,3.981125988103563,0.7018472971423058,0.657051561749523,0.439039825973868,0.6738344537306385,0.8109228979688532,-0.4798426463868884,0.4282836291096976,1.4350161139886006,0.3021505812578641,0.5754582570098193,0.6297851383413138,0.994800919787136,0.6327728228779221,0.612586223993686,-0.5470588244120979,1.029882304813339,0.6815459833748938,0.6443430109419863,0.5381111385148628,0.6719426575839069,2.415997578170604,0.0847664555558433,0.9156568712682542,0.6468219302613587,0.9164425803295084,0.6539233290326886,0.0272506467448678,1.648925728480621,0.5511661916796284,0.555289481771591,1.7535603245726392,0.927543348534652,0.7172335486943765,0.7833812973911236,0.8549055214557904,0.4307373691361469,1.6509325261156984,,0.5495768016273774,0.6149102604551806,0.7363155574998477,0.9317726805630177,0.6528461642784985,0.6349149406049319,0.9584717597380537,0.5047871288645949,0.7653648204917396,1.076296984237575,0.7993452237930133,0.614910260143017
Citrobacter freundii,Citrobacter braakii,0.7298932183117786,0.3403904572450865,0.3961638161827819,0.2738165411093813,-0.0081984586749295,0.3807477341926249,0.5551118941024841,0.8349867874749317,0.8386880437234461,0.7913957946314523,0.0965164583468999,0.8280532215080579,0.3357936300983823,0.8564930602410694,0.3406621918599596,0.2503293752593793,0.3330012752373498,0.1732853622249063,0.5539194507683634,2.2187742758118683,0.0722345071438337,0.886951511995997,0.5161844241835203,-0.3568297579872277,0.8799030302222177,-2.366480082267968,-0.367405810559049,0.9362104788251052,0.8957010521955667,0.8003420831108689,0.7131469225166073,0.8559000009746873,0.8343349547554574,0.136531342645527,0.5001124755450665,-0.2142749735633187,0.8248747847078317,-3.6158072548478297,-0.0597121619956195,0.6931249209837016,0.698278044107731,-0.2125041911231764,0.2028549286030817,2.155272141697102,0.741299449005027,0.3640967859979195,-0.0035022035877947,0.3709430780624558,0.3005650233514819,-0.0502130836293357,0.0219607521801,0.8939720806602363,0.4407467992460548,,0.9747895123281436,0.2402150425918646,0.8299114626193278,0.7459800319172375,0.4059368689629294,0.9851122127091168,0.8434190973391765,-0.3450997313215513,0.225328260549416,0.1032034255978933,0.7251386132776538,0.5463148339988847,0.8299114160173654
Bacteroides helcogenes,Bacteroides zoogleoformans,0.5696664968338435,-1.6079966109384989,0.5205996993653087,0.6501320558922579,0.8028897085893324,-0.8165900737022138,-0.5539434718804681,1.030150119689876,0.720521751013431,0.4998083140208936,0.3270707729495832,-0.6490416201029044,-0.0890106561338676,0.9107071891360868,-0.8372618873489545,0.542884048112431,1.350216481606188,0.6935971974754425,0.5222215123671305,0.6558508794985511,0.946788106034432,0.6508579508702264,0.6099551493059981,0.542065186115381,1.8160864074785392,-0.7925275585042181,1.1567968007819132,0.6022491149935371,0.8340092009863241,-0.9957819645396976,0.6075066578925709,0.5909074540373046,0.3798730049019806,0.9443194942473956,0.7247569977761207,-0.0082743218761723,1.4125477243287188,0.3537612246705012,1.152524551312668,0.8889061471070188,0.4222568449114687,0.6247833666950967,0.3069607959476179,0.3331940273471765,0.5114371738510323,0.9130338443015572,0.5051367750889377,0.9125333212759136,0.7880708758714018,2.382763226895946,0.6029729265466925,0.7535591211187419,-0.272796346664326,3.978789580121284,0.9679779107864348,1.073503449084888,0.6051210535188568,,0.6841258248631309,0.7038284909041579,0.7334143526428768,0.7114687815395624,0.6793685128980367,-0.2513305714528993,0.4075304863330673,0.6050207016390164,0.6051210763438271
Lachnoclostridium phocaeense,Oscillibacter valericigenes,0.9007704299150244,-0.0777129663886231,-0.4417049345864395,-0.605315489285667,-0.6127156285000236,0.5811350959372641,-1.8777414590476136,-0.3377968274955819,-0.9683484576224256,-1.0478404415561473,0.2315951697726814,-0.7712651778046561,0.4199797772366573,-0.5903478277034614,0.056804998886163,-0.8097090130753088,-0.4021099817366301,-1.0454586861360218,0.0692490129215765,-0.4771048849921864,-0.7119391237631316,-0.7597485707654268,-0.5436435168781236,-0.6672836622151712,-0.6975967820602943,-0.2246577638122496,0.9227554782984532,-0.6280994076781781,0.5144907672770732,-0.1934416416515831,-0.588712340720132,-0.8565498805283512,-0.4174320044179104,0.1537713634552452,-0.7601778178892122,-0.7736504051848856,-2.0623778880805856,0.1982607135501585,1.583185254606818,0.6142553695912296,-2.42125420222425,1.4033364243952935,0.9268419302079716,-0.7109297867968936,-0.7368722732975956,-0.7473485343966937,-0.1066199536263864,0.8493789218595773,2.549521264042691,-0.7187903155694533,1.2512786524292192,-0.8464719595018572,-0.7725596496074589,,-0.7032198005910054,-1.1807632659728209,-0.7227826612740909,-0.7841750772225886,0.2798312712413198,-1.2333407308466655,-0.8298122304304474,0.8165529230880317,-0.4283037894550371,-1.0556859580131772,-0.4966214617729677,-0.681636894694631,-0.7227826693004733
Prevotella scopos,Prevotella sp. oral taxon 299,0.0250087374050745,0.8864095495283388,0.7548720343011107,0.8417367653263435,0.820651943906764,-1.7623776230840429,0.1261122191534751,0.7544728089145761,0.7275822103485204,0.8751083221542311,0.7442518862149067,3.407504269895292,0.6054161082981311,0.4377937646809698,0.7326420060137167,1.0129887407851146,0.7718744887681177,-1.583800623377858,-0.080170464647289,1.697398648784525,0.6644918058014476,-0.8954794847172876,0.3752600209517511,1.0328048286539246,1.2069037021620566,0.7735059325810046,0.5221881108682012,0.6954523991391879,0.2715223581699066,-0.9505632631419296,1.3103150930718812,0.4358763217977358,0.6977434304631022,0.8411289158945364,0.6050518238839127,0.2754194238969485,0.4088155980565178,1.6950929174874614,0.7052388646427454,-0.6615431411217716,-0.7593002272703127,0.690749849145524,0.7338344161676119,0.6945357628083956,,0.7150922683123621,0.6613671966892147,0.1775581142798531,-0.5546463498085794,1.1922320489531075,0.7259424278965386,0.7240165939278852,0.6808423247673466,2.900364372970844,0.8490813544495126,-1.7312203026323347,0.6976335126228854,0.8341305015637239,0.2786177416287099,0.6722059242252617,1.4997479363879829,0.8679557979551195,0.3511486307615379,-1.0698930767666115,1.349416812187477,0.7030527090975148,0.6976335615368162
