rownames,labels
MMRS11288076ST,18.0
MMRS21365932ST,10.0
MMRS29805707ST,8.0
MMRS32573774ST,3.0
MMRS33294861ST,5.0
MMRS34569532ST,11.0
MMRS35808664ST,13.0
MMRS38861560ST,16.0
MMRS51307502ST,14.0
MMRS61683006ST,17.0
MMRS62666492ST,15.0
MMRS64281551ST,0.0
MMRS65742083ST,9.0
MMRS65862658ST,7.0
MMRS73787048ST,12.0
MMRS84159866ST,4.0
MMRS86168210ST,1.0
MMRS91297590ST,6.0
MMRS93621581ST,2.0
MMRS97307143ST,19.0
