Node,MMRS51410669ST,MMRS34569532ST,MMRS38954404ST,MMRS84954772ST,MMRS12272136ST,MMRS85382779ST,MMRS33294861ST,MMRS84159866ST,MMRS65862658ST,MMRS11288076ST,MMRS81671217ST,MMRS29805707ST,MMRS14602194ST,MMRS93508324ST,MMRS39582183ST,MMRS93621581ST,MMRS77487595ST,MMRS51737257ST,MMRS94549160ST,MMRS21365932ST,MMRS43563715ST,MMRS57276462ST,MMRS95479054ST,MMRS90191266ST,MMRS79893829ST,MMRS88581325ST,MMRS67247116ST,MMRS54246132ST,MMRS38861560ST,MMRS32573774ST,MMRS71762412ST,MMRS62666492ST,MMRS44587603ST,MMRS72802364ST,MMRS54316675ST,MMRS34525504ST,MMRS97307143ST,MMRS43939546ST,MMRS77018926ST,MMRS42780924ST,MMRS61683006ST,MMRS18295921ST,MMRS25641480ST,MMRS65742083ST,MMRS97052561ST,MMRS77321055ST,MMRS95277876ST,MMRS16644320ST,MMRS62376181ST,MMRS81135225ST,MMRS78791111ST,MMRS64281551ST,MMRS20257302ST,MMRS66868025ST,MMRS51307502ST,MMRS86178473ST,MMRS65205033ST,MMRS91297590ST,MMRS72980899ST,MMRS86168210ST,MMRS73787048ST,MMRS81194191ST,MMRS55294627ST,MMRS15137911ST,MMRS97327636ST,MMRS35808664ST,MMRS65945127ST
Odoribacter splanchnicus,-0.8440978681966957,1.4628278056278698,0.9750677332656748,-1.5639442232061547,-3.794241446829647,0.31632815805665204,1.76837774512159,1.6226115405284434,1.6127023356340269,0.8569565508109093,1.6802029128050822,0.898695753707812,0.5298722646143741,-0.30465684040786445,2.827553891489793,2.5001724788258843,0.48474352379893915,0.11355796850447089,0.0996861844060275,0.9218737632943101,-0.4377197391593918,2.35568249963438,0.22300848465338846,-0.587008031802442,2.93009861251862,1.1894787196771657,1.1173578903985713,1.3904361868998967,1.9937898304517574,0.620522795116977,1.768601111074585,1.1254223110948272,0.7529702911489236,0.12997600155828004,0.6132409662958112,0.8303845418916034,-1.3572052672593213,1.149030443033345,-0.510820786340942,1.8986115928843932,1.2874425047649947,2.2836627429954315,1.8889058058261372,0.5330563521682983,-0.4618534070095054,0.938777415754873,0.3390753079570798,0.8913999940521234,0.9864944141639578,0.6914257201633819,0.7173125812585469,0.8731775566249981,0.09138148497061938,-1.5654450081927247,0.5130902442223328,-1.2777797077350757,1.3739189280630626,1.0207626070963567,0.5287549221434751,1.501576224053763,2.89945511530877,0.3571960633263188,0.8940941056206447,0.5110099807260079,0.5060943414797693,0.8268028839929958,0.8415270067457113
Christensenella sp. Marseille-P3954,-3.6338795905176835,0.37496500517718234,4.964110349096767,-1.3645409408077136,-3.482167574263686,1.9599599626800432,4.657907541292749,2.769605852209047,2.453262567503934,2.9116735237519307,1.6348044894152782,3.080475718033211,0.6211723863213781,1.6193793732213888,0.09539128199358182,5.474826938020261,-3.568249905311487,0.8741682505299949,2.492476310982796,3.400915453170462,1.3513111805674856,0.7860092406925159,-1.8757741210162209,-1.4637564331991335,0.3281161951555085,-2.024358105122658,-0.47641904678724933,1.7925851729093625,4.242655596809897,2.4604147799104887,1.929237057406592,2.3602206113646758,0.37391453040899436,-2.6036443724771168,-0.3934915946135549,1.4479395935083579,0.404074104550844,-0.5201164739970421,-4.01106884962477,-0.3071876471029622,2.0243064281739387,1.489109587041398,-1.4530638350198077,0.5197794889087431,-3.9244726731584434,0.22204439068134085,2.865481148350948,-0.15005280248055985,0.8494480529358973,2.7827001858083227,1.0348393092029626,1.2308140421864127,1.8170156856183466,-0.11987076949017772,0.37458316766087885,0.12421012534994813,0.929232249589288,0.9935808369806254,0.5174799478761974,0.6471816028583672,3.5696610890193807,1.322352964692036,0.44896175182649234,0.791055671907935,-1.6236554836279375,0.9656216762716813,0.31391436737412326
Dysosmobacter welbionis,-1.531338255508576,-3.874032397053611,-1.3433034818776686,1.4678454766414468,-1.440191010741536,1.5322409702540387,-2.1144125398234115,-2.904580892484549,-0.09399792860528444,-6.671498595956727,-4.58622127041057,-3.71427133398335,0.22962518553297456,-5.8633310267068275,0.3508919738207551,-2.4141787171993534,2.03232474415272,4.48266087969865,-1.8351885843917701,-2.739051276795593,-5.553408651861659,-1.3363566290372122,-3.254144508487954,-2.3587252259080147,-0.5200940793002944,1.8079372097929578,-5.728293532117213,-0.9955930352415516,-3.730514117838403,-1.5807181940095947,-0.7174946963522881,0.9734252091997917,-3.1205887351356107,4.606689347405346,1.8698190110523774,-2.1798100243370024,1.217606855282221,-3.2552957248798156,0.03652153643956685,0.4139921959568015,0.008511643486245668,-1.1612277452937927,-0.7832247568654335,-3.4546141120673273,2.0122212209318224,-3.52751406536014,-2.1268326913446525,-0.9518393101668512,0.9019923774685981,-2.7830618418113406,-0.521173515447871,-3.4376359730004116,4.927731489874427,1.6972452555224211,-2.2402296380600433,1.140453251937568,-3.082197032778514,-0.23394330928360485,2.476074362922251,-2.523128825518649,-4.37048258366501,-3.964644694106261,0.059601939924881886,-1.2972645690884275,-0.656744138436982,-0.22629747096623998,-3.1299596932415543
Oscillibacter sp. PEA192,2.0245596089488185,-6.972361948588139,6.661031444716406,-2.52794924173181,2.01828675178299,1.6843374972058465,-5.12521172952256,0.40545492781607245,-2.639097693760616,-7.848637036326885,2.568725663745966,-2.4244263776112387,4.0475194586037455,-1.3155399173381825,6.949461711084695,-0.9351418860797268,8.645768781673764,0.039233220597467255,-3.6162821251315433,-2.8701124195848933,1.9133221872837578,-1.0048253310667465,-1.4557295400244927,1.160326353708669,-3.9435420323776147,1.526683462058731,4.6743358163890845,-1.7794677221386617,-3.253498992096642,2.3188747107819703,7.467461947710744,-5.207920454648954,1.3568814162464728,4.341384679344435,2.753605292562375,-0.4917444168743289,-2.842486954413166,4.099560239906197,6.1522579592032915,0.08665033954886492,-6.127300657812427,1.106470886584721,1.1018894964167467,-3.9557367043135634,1.1822902644717597,-0.7406257288671031,-3.2677491188420147,1.1496633713215751,0.9360774003475585,0.28746935782778194,-1.659812078195501,-3.1894465987432503,6.805701251260945,1.0012557145553784,-3.6978085722690945,-0.8943927994473859,-2.0942110397481044,-2.4760739601077426,0.22328833613841415,-1.7372753191511452,-0.7640658508333852,1.3337653103940756,-0.40697733211817133,-1.1958355196769592,0.08151482194461646,-1.910550822514371,-1.1765829939253334
Streptococcus parasanguinis,1.893739509239069,1.5141628664070526,1.6886491074328753,2.207271495069059,1.0445069179861606,3.349140319468818,2.014775192579186,0.5775949943548788,1.2696528209364986,2.3995499438871635,1.200282888836636,1.4527301801522556,4.227992446530372,0.3247103509674729,1.385200873139593,2.2827324022857383,1.1034170113574757,0.4755418751696817,0.9802945210289981,0.6834085188797583,0.26019953113282557,1.909827504647318,-0.10381261273376696,1.3102569304928644,1.396685260824019,0.9588192503757247,1.4443682144018406,0.9615253505682456,1.7731575454372106,2.4987028796881257,0.7375088545088997,1.31657815961288,3.410105594072207,3.920465734465187,1.4792386193717126,2.334047757236777,2.525612320598258,0.9752494299543387,1.8071970695643755,2.029447824666475,2.01869824579655,0.9179610152146304,0.1740477529943829,2.851857197294402,1.859867231860914,2.024290156979951,0.945029456867836,0.9182756367544994,2.527528511338753,0.7643699053664252,1.8224572603063671,3.6661175182691803,-0.8125164078616234,1.250462182550356,2.4522933836684073,2.475425039415026,2.2009798108944185,2.0852638128116765,2.434982459197149,1.5790058750658313,1.6067501329489495,0.8711390564644641,1.484754052058383,1.9352760363917383,1.8149223161009058,2.0907457295052194,2.7512552365239373
Streptococcus sp. HSISM1,1.5086717488477208,-0.6861381385674876,-0.16784145515234739,0.7396092072852478,2.4191607616786164,-1.0097669502027302,-0.3116050443045361,-0.2636611871173832,-0.05056380069151256,-2.1726553507779833,1.0875871838264786,-1.605200183005841,0.33031965901298216,0.4361997824863396,0.9346818731216261,-0.7422031176901858,-0.25691788530787285,1.055997306136891,0.004064967788627416,-1.4266031456521584,0.9624455622410106,0.1774530256765034,0.9966717578477406,1.2851002364417559,-0.5136568905483202,0.7661627573759962,2.5603486486006837,0.20134177845455603,-0.004652675500383285,-1.342539668166915,2.091996860416572,-0.6274261798177905,0.5602364400766389,-0.2908009187789209,1.6863851987646916,0.5709030358863969,-2.3316714293832805,-0.10489444701488715,1.766129464272428,2.4421389248320184,-0.6728035305735177,1.6690634628742889,1.4937292198993468,-1.0661578064407453,0.1816109986769006,0.45480468919251443,0.027854171062776545,1.161701218994312,0.3775863918967922,0.6008161181812147,0.38385100002962513,-0.8347553212902024,2.7444370283517947,-0.861044164401013,0.32204090185326484,0.368457618080115,0.19627787116099826,-0.5228797495922037,0.8035557694579113,-0.48299310365602616,-0.07243592604557991,0.7202223543041464,0.19323434557883457,0.51537609364519,0.5254120051069588,-0.22148399141330866,-0.39208591231760903
Bifidobacterium longum,-2.1766232323392405,2.606390787802904,-0.5471756761576799,0.2873800725662391,-0.33194266729080957,0.6083154325595146,0.6229269220853202,2.5126178621111643,2.256732202055236,5.3525368245017475,-0.08627447121729725,4.248918329246338,-4.126494077023922,-0.011600577334263229,2.4479211391092623,1.5064586433853027,2.599861094713753,0.9070667846456906,0.20117096115004057,1.6267056148328178,-2.9958576292992927,1.2847846473470879,-1.9568547630685957,1.9683134780067728,0.6082888668330957,-2.402122184508144,-0.5464422836898044,2.3108971483074905,8.226989788298889,1.8638459189538863,-0.02001222566250538,0.9933985787456875,3.9379413848977896,0.17716498437803985,0.16523724632463477,-0.3080090950795261,-5.898638581151392,1.1997593519846739,-1.300979731202709,0.28893069931073534,-0.6902064184186232,-0.3791326703458733,-1.1124533699041725,4.163019040518362,-3.474615350042941,-1.1745647913522121,-2.2700037945839746,0.1038011803967463,-2.931442431365051,0.4654075383547195,-2.933074344677431,6.147822730835356,0.6627353217339423,1.0698680762904582,4.354291417115812,-1.73035302561911,0.8562545002470897,2.1973413854636843,1.380649957659606,0.9596615464798065,0.7021259291655662,0.7072583060010116,-0.8568603696987346,0.4462393974865597,1.3229856915379048,2.5812228886299784,2.0593468724373514
Alistipes sp. 5CPEGH6,-0.41073138152849387,3.009494578335999,-1.2403390897131825,0.3106349342992256,-0.47640799422391655,0.496889573158976,3.293574287905214,3.240343014695238,2.5461101882586847,-1.9528625030072118,1.5419619754546545,2.117056283205803,1.4962066813537946,4.087015790778265,1.4493724340627587,2.258955637280364,0.3633028454884575,1.3673787152401193,0.7474682660414269,2.5715068501351275,1.01855970557289,2.6404636103969605,0.6787978216273041,-0.059561806158320074,-0.6500069684688108,-1.2487859542126163,0.0774974144767982,2.026095714607017,4.051735291777932,3.2273777894774147,-0.6427046901595266,2.944768868119831,2.613117697135936,0.9572791616243955,0.456634230344346,1.7364403023322341,-1.1377482643540722,0.6779645623455787,-0.8866006829731705,1.4487441311819411,-0.00607688903744355,3.106093522245339,3.8217812850034436,1.6762436452520524,-1.6716093947978865,2.2244097551561306,4.524771206452608,-0.0976991281443728,-1.5371889492441964,0.23165780426128152,-0.48108556924826396,2.047672838403958,1.6089456971778346,-4.051227499042199,2.3722377543390807,-3.015363831633934,1.920287660914747,0.9147022928645364,3.063623669022664,1.251914154347353,2.418432135694622,-0.2695573730506511,-0.46748501572524637,0.21236821721577046,1.92305317661722,1.865494606880053,1.3220751972078988
Pseudobutyrivibrio xylanivorans,-8.228399625575529,0.42310725683482525,0.4791737928575765,-4.307484652696045,-4.922132630202153,-1.089859576633895,-2.345412717087013,4.096791583650701,0.6600848383689573,0.0055037708523908435,-3.9437431480392418,-1.5267894163249678,1.2557401318404449,-5.536590473579299,-0.26936110422246157,4.625687892255736,-1.8213305420040031,1.0522055659883953,-0.36056607189780715,0.8754639999087699,-3.39068796205356,2.412463414521176,-0.23384503868846385,0.1666435435229926,2.515798529409387,1.5979373210726915,-1.1928987756991352,-0.094376393155301,1.6700016285285306,-0.8084265324106987,1.527480879975596,0.5278202552175261,-3.1570212908786752,0.4953391111016021,-0.4613604296004029,-1.8501437281788606,2.583411603172439,-4.869811643107227,-1.4428673617883536,-0.5971874300511276,2.8424710011410643,-6.319712127709188,0.8069942337678929,1.4650380141565504,1.1817136566317297,-0.4214223140178564,0.07165000017456424,-5.922821746166854,1.856875045079303,0.4548535429539684,-2.8610757548798933,0.8279949829135465,0.8387135017371921,1.31044083698881,0.03230853971321801,-0.3155700449971669,-1.4458628129002289,0.7431441882084204,-0.5484416266527921,0.09868684335882294,-0.7657734792537726,-0.1821206099522522,-1.4769105184454128,-0.322122026853695,0.5224206769093294,1.4526260216095528,-1.398256816302707
Butyrivibrio fibrisolvens,5.33910210258658,-0.16783360589242546,2.9561422843206184,4.416324099164764,1.5347337263981156,4.477090187298574,-1.8997619046070504,0.38188402225960705,-1.4668026858423735,0.17312865050325604,0.5390601757890359,-3.1359439649914753,0.04901522978437778,3.8728332586701,4.057665120303543,-0.09257841281704632,-0.9086395766186082,4.058561322214115,2.375034710494324,4.251153641796072,2.708609241093039,1.5844454890157644,0.3600360401682823,1.9448634997811376,1.2785197060175046,3.38971008337875,5.194697094434194,0.8653849902938315,-1.110002663251795,2.992744239653466,3.9522256690031634,1.3430888720740208,2.0677919476544857,4.795761409037251,-0.18671117305340323,-1.0065209232040613,-1.6860444289255772,0.018841233574978994,0.9751607876347718,1.81174434281664,0.12364449114533166,3.8962183876450664,5.070467570304481,-0.21936385372714695,1.1016241311016428,1.9152901884023645,2.302016368214438,1.141045417183337,3.4270540136844323,0.9093807223273229,1.2202123867375883,1.8805235940781395,1.4300364743312621,0.8630250573120346,3.3553897101661954,1.7592118972917938,0.3286468711077426,1.0305655458656073,1.572084060605722,-0.2299643533369521,0.07171164473085656,2.600927776015489,1.7374631959058031,2.1499046863696774,0.7928204354678638,-0.34816540618173175,1.5443994403186678
